Round,Random_Partition_Test_Loss,Spectral_Min_Cut_Test_Loss,Fluid_Balanced_Test_Loss
1,0.01909748,0.01886015,0.01877735
2,0.01713322,0.01635362,0.01648692
3,0.01599618,0.01441329,0.01505737
4,0.01501075,0.01324225,0.01379804
5,0.01409292,0.01245925,0.01297630
6,0.01339693,0.01184217,0.01217105
7,0.01292587,0.01174043,0.01178384
8,0.01260908,0.01124432,0.01161629
9,0.01226817,0.01114836,0.01136540
10,0.01200055,0.01113317,0.01133197
