epoch,train_loss,test_loss
1,0.010137056481844488,0.00637217584572304
2,0.008007149602916987,0.005112410609514899
3,0.006483102531395332,0.004491728421079404
4,0.0056484046417908385,0.0041600197035152
5,0.004994098291293593,0.0038198947796913327
6,0.004558957524459516,0.0036711595742400485
7,0.004266767923674545,0.003650571490284901
8,0.0040138426556616934,0.0035624365038659715
9,0.0037725593985280855,0.003378571281527431
10,0.003546076202849976,0.003176084877246159
11,0.0033449579040718803,0.0029896271530923868
12,0.003164448878464302,0.002834074407255224
13,0.0030055477469869856,0.002704865610881755
14,0.002872983911856814,0.002605070531706068
15,0.00275837761145884,0.0025415142497099944
16,0.0026574798483691413,0.002488509187499581
17,0.0025676775863043484,0.0024478309646895732
18,0.0024838394065045833,0.0024071247015139993
19,0.0024027189113229493,0.0023766278936532877
20,0.002315378980393479,0.0023562746290379066
